word	hiragana	furigana	JLPT	kaishi	english	RIRIKKU_RANK	RIRIKKU_TIER
うん	うん	-	4	0	-	1	B
だ	だ	-	5	0	-	1	B
の	の	-	-1	0	-	1	B
た	た	-	-1	1	-	2	B
て	て	-	-1	1	-	2	B
に	に	-	-1	1	-	2	B
は	は	-	-1	0	-	2	B
派	は	-	1	0	-	2	C
する	する	する	-1	1	to do	3	B
ね	ね	-	-1	0	-	3	B
を	を	-	-1	0	-	3	B
為る	する	為[す]る	5	0	to do	3	B
が	が	が	-1	0	But	4	B
と	と	と	5	0	And	4	B
賀	が	-	-1	0	-	4	B
二	に	二[に]	5	1	two	5	B
そう	そう	そう	-1	1	appearing that, seeming that	7	B
で	で	で	-1	0	with; by using something	7	B
も	も	-	-1	0	-	7	B
打	だ	-	-1	0	-	7	F
藻	も	藻[も]	-1	0	algae, duckweed, seaweed	7	B
ます	ます	-	-1	1	-	8	B
年	ねん	年[とし]	5	1	age; year	8	B
か	か	-	-1	0	-	9	B
し	し	-	1	1	-	9	B
です	です	です	5	0	be, is	9	B
から	から	から	-1	0	From	10	B
ない	ない	-	-1	1	to not be	10	B
よ	よ	-	-1	0	-	10	B
な	な	-	-1	1	-	11	B
ん	ん	-	-1	0	-	11	B
いる	いる	-	-1	1	have, exist (animate)	13	B
さ	さ	-	-1	1	-	13	B
れる	れる	-	-1	0	-	13	B
ゐる	ゐる	-	-1	0	-	13	B
居る	いる	居[い]る	5	0	[vi] be present, home	13	B
ある	ある	ある	-1	1	to exist (inanimate objects)	14	B
在る	ある	在[あ]る	2	0	to exist, to be	14	B
月	つき	月[つき]	3	1	moon	14	B
こと	こと	-	-1	1	thing; matter; incident; circumstances; situation; state of affairs​	15	B
さん	さん	さん	1	1	san	15	B
てる	てる	-	-1	0	-	15	B
事	こと	事[こと]	3	1	thing, matter	15	B
有る	ある	有[あ]る	5	0	[vi] be, exist; have; take place	15	B
照る	てる	照[て]る	2	0	[vi] shine; be fine	15	B
いう	いう	-	-1	1	-	16	B
ひ	ひ	-	-1	1	-	17	B
・	・	-	-1	0	-	17	B
日	ひ	日[ひ]	4	1	sun, sunshine; day, date	17	B
言う	いう	言[い]う	5	1	say, speak, state; call, refer to	17	B
いち	いち	-	-1	1	-	18	C
って	って	-	-1	0	-	18	B
なる	なる	なる	-1	1	to become	18	B
一	いち	一[いち]	5	1	one	18	B
なに	なに	-	-1	1	What	19	B
何	なに	何[なに]	5	1	what	19	B
成る	なる	成[な]る	5	0	become, form, consist of; be accomplished	19	B
私	わたし	私[わたし]	5	1	I	19	B
それ	それ	それ	-1	1	that	20	B
んだ	んだ	-	-1	0	-	20	B
其	それ	-	-1	0	-	20	B
無い	ない	無[な]い	-1	1	nonexistent	20	B
その	その	その	-1	1	that (thing)	22	B
はい	はい	はい	5	1	yes (polite)	22	B
其の	その	其[そ]の	5	0	that, that one	22	B
化	か	-	-1	0	-	22	B
い	い	-	-1	0	-	23	B
第	だい	第[だい]	1	0	prefix for forming ordinal numbers	23	B
う	う	-	-1	0	-	24	B
この	この	この	-1	1	this (thing)	24	B
として	として	-	-1	0	-	24	B
や	や	-	-1	0	And	24	B
ゼロ	ゼロ	ゼロ	-1	0	Zero	24	B
此の	この	此[こ]の	5	0	this one; this	24	B
おもう	おもう	-	-1	1	-	25	B
さま	さま	-	-1	0	-	25	B
御	ご	御[お]	3	0	prefix expressing respect, typically used for non-chinese words	25	B
思う	おもう	思[おも]う	4	1	[vt] think, feel; wish	25	B
様	さま	様[さま]	3	0	Mr., Mrs., Ms. (very formal)	25	B
鵜	う	-	-1	0	-	25	U
これ	これ	これ	-1	1	this	26	B
じゃ	じゃ	じゃ	-1	1	then, well	26	B
である	である	-	-1	0	-	26	B
なっ	なっ	-	-1	0	-	26	B
市	し	市[いち]	4	0	market	26	B
此れ	これ	此[こ]れ	5	0	this (Close to you)	26	B
ああ	ああ	-	4	0	-	27	B
できる	できる	-	3	1	can do, be good at = A Possible Situation / Having the Ability to do Something	27	B
という	という	-	-1	0	-	27	B
と言う	という	-	-1	0	-	27	B
出来る	できる	出来[でき]る	5	1	can, to be able to do	27	B
嗚呼	ああ	-	1	0	-	27	B
県	けん	県[けん]	3	0	prefecture, prefectural government	27	B
あっ	あっ	-	3	0	-	28	B
など	など	など	5	0	etc	28	B
のだ	のだ	-	-1	0	-	28	C
者	もの	者[もの]	3	1	person	28	B
でも	でも	でも	5	0	... or something	29	B
わ	わ	-	-1	0	-	29	B
三	さん	三[さん]	5	1	three	29	B
的	てき	的[まと]	1	0	target	29	B
あの	あの	-	-1	1	that one there	30	B
いい	いい	いい	5	1	good	30	B
じゅう	じゅう	-	-1	1	-	30	B
にほん	にほん	-	-1	1	-	30	B
十	じゅう	十[とお]	5	1	十[とお]：ten (things) 十[じゅう]：ten	30	B
日本	にほん	日本[にほん]	3	1	Japan	30	B
灰	はい	灰[はい]	3	0	ash	30	F
謂	いい	-	-1	0	-	30	B
けれど	けれど	-	4	0	-	31	B
ず	ず	-	-1	0	-	31	B
人	ひと	人[ひと]	5	1	person	31	B
物	もの	物[もの]	5	1	thing, object, stuff; something; property	31	B
けど	けど	けど	-1	0	But, although	32	B
ため	ため	ため	-1	1	sake, purpose	32	B
よい	よい	-	-1	0	-	32	B
後	あと	後[あと]	5	1	later, after	32	B
良い	よい	良[よ]い	5	0	good	32	B
えき	えき	-	-1	0	-	33	B
屋	や	屋[や]	-1	0	(something) shop	33	B
見る	みる	見[み]る	5	1	[vt] see, view	33	B
駅	えき	駅[えき]	5	0	train station	33	B
てき	てき	-	-1	1	-	34	B
のです	のです	-	-1	0	-	34	B
ば	ば	-	-1	1	-	34	B
其れ	それ	其[そ]れ	5	0	that	34	B
もう	もう	もう	5	1	now, soon, already, yet	35	B
ひと	ひと	-	-1	1	-	36	B
られる	られる	-	-1	0	-	36	B
俺	おれ	俺[おれ]	1	1	I usu. intimate, occ. vulgar	36	B
お	お	-	-1	0	prefix expressing respect, typically used for non-chinese words	37	B
いく	いく	-	-1	1	to go	38	B
だけ	だけ	だけ	-1	0	only, just	38	B
まし	まし	まし	-1	0	better	38	C
ゆく	ゆく	-	-1	0	-	38	B
よう	よう	-	-1	1	-	38	B
より	より	より	5	0	than	38	B
町	まち	町[まち]	5	1	town	38	B
行く	いく	行[い]く	5	1	[vi] go, proceed; attend	38	B
たい	たい	-	-1	0	-	39	B
ちゃん	ちゃん	ちゃん	4	1	chan	39	B
どう	どう	どう	-1	1	how	39	B
へ	へ	-	-1	0	-	39	B
来る	くる	来[く]る	5	1	to come	39	B
おれ	おれ	-	-1	1	-	40	B
ご	ご	-	-1	1	-	40	B
やる	やる	やる	-1	1	to do	40	B
五	ご	五[ご]	5	1	five	40	B
そんな	そんな	そんな	4	0	such (actions, ideas), like that, that sort of	41	B
また	また	また	-1	1	again	41	B
まで	まで	-	-1	0	until (a time); to (a place or person)	41	B
たら	たら	-	-1	0	-	42	B
遣る	やる	遣[や]る	5	0	to do; to undertake; to perform; to play (a game); to study	42	B
鱈	たら	-	-1	0	-	42	B
あ	あ	-	-1	0	-	43	B
ほうそう	ほうそう	-	-1	0	-	43	C
みる	みる	-	-1	1	see, look at	43	B
わたし	わたし	-	-1	1	-	43	B
放送	ほうそう	放送[ほうそう]	3	0	broadcasting	43	C
ごう	ごう	-	-1	0	-	44	B
とき	とき	-	-1	1	time	44	B
ばあい	ばあい	-	-1	1	-	44	B
よん	よん	-	-1	1	-	44	B
号	ごう	-	1	0	-	44	B
君	きみ	君[きみ]	4	1	you	44	B
四	よん	四[よん]	5	1	four	44	B
場合	ばあい	場合[ばあい]	4	1	occasion, circumstances, situation, case	44	B
時	とき	時[とき]	3	1	time; moment, occasion	44	B
くる	くる	-	-1	1	to come, to arrive	45	B
ちょっと	ちょっと	ちょっと	-1	1	a little bit	45	B
まあ	まあ	-	3	1	well...	45	B
もの	もの	-	-1	1	-	45	B
一寸	ちょっと	一寸[ちょっと]	5	0	(just [for]) a moment, slightly	45	B
分かる	わかる	分[わ]かる	5	1	to understand, to comprehend	45	B
名	な	-	3	1	name, reputation	45	B
迄	まで	迄[まで]	-1	0	up to, until	45	B
お前	おまえ	お 前[まえ]	3	0	you (slightly derogatory)	46	B
中	なか	中[なか]	5	1	middle, within	46	B
くれる	くれる	くれる	4	1	to give	47	B
呉れる	くれる	呉[く]れる	1	0	[vt] give; do for so.	47	B
あり	あり	-	-1	0	-	48	C
いや	いや	-	-1	1	-	48	B
ここ	ここ	ここ	-1	1	here	48	B
如何	いかが	如何[いかが]	5	0	how? would you like? how about?	48	B
ぞ	ぞ	-	-1	0	-	49	B
だから	だから	-	4	0	-	49	B
方	ほう	方[ほう]	5	1	side (of an argument, etc.)	49	B
え	え	-	-1	1	-	50	B
行う	おこなう	行[おこな]う	4	1	[vt] act, do, perform; practice, carry out	50	B
だろう	だろう	-	-1	0	-	51	B
えっ	えっ	えっ	-1	0	Really?	52	B
じぶん	じぶん	-	-1	1	-	52	B
ぬ	ぬ	-	-1	0	-	52	B
回	かい	回[かい]	3	1	times	52	B
自分	じぶん	自分[じぶん]	5	1	self, oneself	52	B
ぶ	ぶ	-	-1	0	-	53	B
わかる	わかる	-	-1	1	to understand, know	53	B
下さる	くださる	下[くだ]さる	3	0	to give (honorific)	53	B
大学	だいがく	大学[だいがく]	5	0	university	53	B
部	ぶ	部[ぶ]	1	0	department, club	53	B
なら	なら	-	-1	0	-	54	B
奈良	なら	奈良[なら]	-1	0	Nara city and prefecture	54	B
彼の	あの	彼[あ]の	5	0	that one there; something distant from speaker and listener	54	B
彼れ	あれ	-	-1	0	that over there	54	B
よる	よる	-	-1	1	be caused by, be due to	55	B
今	いま	今[いま]	5	1	now, at present; current, existing	55	B
家	いえ	家[いえ]	5	1	house	55	B
おり	おり	-	-1	0	-	56	F
すごい	すごい	すごい	-1	1	amazing, terrific	56	B
ちゃう	ちゃう	-	-1	0	-	56	B
なか	なか	-	-1	1	-	56	B
凄い	すごい	凄[すご]い	4	1	horrible, terrible, superb, fantastic, tremendous, awful	56	B
因る	よる	因[よ]る	2	0	to be caused by, to be due to ♢	56	B
ろく	ろく	-	-1	1	-	57	B
リンク	リンク	-	-1	0	-	57	B
六	ろく	六[ろく]	5	1	six	57	B
せる	せる	-	-1	0	-	58	B
みたい	みたい	-	-1	0	-	58	B
村	むら	村[むら]	5	1	village	58	B
競る	せる	競[せ]る	-1	0	[vt] make a bid for	58	B
こう	こう	こう	-1	1	in this way, such	59	B
たち	たち	-	-1	0	suffix that refers to a group by a noun that's in it; (like a pluralizer, but less specific)	59	B
御前	ごぜん	-	-1	0	-	59	B
為	ため	-	4	0	-	59	B
達	たち	達[たち]	-1	0	pluralizing suffix (for people and animals)	59	B
郡	ぐん	郡[ぐん]	2	0	county, district	59	U
がっこう	がっこう	-	-1	1	-	60	B
だっ	だっ	-	-1	0	-	60	B
つう	つう	-	-1	0	-	60	B
なん	なん	-	-1	1	what	60	B
国	くに	国[くに]	5	1	country	60	B
学校	がっこう	学校[がっこう]	5	1	school	60	B
つ	つ	-	-1	0	-	61	B
について	について	について	-1	1	concerning, regarding	61	B
はち	はち	-	-1	1	-	61	B
二十	はたち	二十[にじゅう] [regular]	-1	0	twenty	61	F
八	はち	八[はち]	5	1	eight	61	B
此処	ここ	此処[ここ]	5	0	here, this place	61	B
見	み	-	-1	0	-	61	F
いただく	いただく	-	-1	1	to receive (formal)	62	B
頂く	いただく	頂[いただ]く	3	1	[vt] receive humbly, be given; eat, drink	62	B
よっ	よっ	-	-1	0	-	63	C
九	きゅう	九[きゅう]	5	1	nine	63	B
線	せん	線[せん]	4	0	a line	63	B
あなた	あなた	あなた	-1	1	you	64	B
おる	おる	おる	-1	0	to exist (living things) {formal}	64	B
く	く	-	-1	0	-	64	B
つき	つき	-	-1	1	-	64	B
ではない	ではない	-	-1	0	-	65	B
では無い	ではない	-	-1	0	-	65	B
昭和	しょうわ	昭和[しょうわ]	-1	0	Shōwa Era 1926-89	65	B
とうきょう	とうきょう	-	-1	0	-	66	B
ところ	ところ	-	-1	1	place	66	B
なな	なな	-	-1	1	-	66	B
ら	ら	-	-1	0	-	66	B
んっ	んっ	-	-1	0	-	66	C
七	なな	七[しち]	5	1	seven	66	B
東京	とうきょう	東京[とうきょう]	-1	0	Tōkyō	66	B
我	われ	-	-1	0	-	67	B
番組	ばんぐみ	番組[ばんぐみ]	4	0	program (e.g. TV)	67	B
聞く	きく	聞[き]く	5	1	[vt] hear; ask	67	B
ええ	ええ	ええ	5	0	Yep. Yes, that is correct	68	B
こんな	こんな	こんな	5	0	this kind of	68	B
たり	たり	-	-1	0	-	68	B
だろ	だろ	-	-1	0	-	68	B
僕	ぼく	僕[ぼく]	4	1	I, me (male)	68	B
大	だい	-	-1	0	-	68	B
そして	そして	そして	3	1	and then, thus, and finally	69	B
なく	なく	-	-1	1	-	69	B
により	により	-	-1	0	-	69	B
現在	げんざい	現在[げんざい]	3	1	present time, now; present tense	69	B
而して	そして	-	-1	0	-	69	B
ほんとう	ほんとう	-	-1	1	-	70	B
仕舞う	しまう	仕舞[しま]う	1	0	to accidentally do; to end up doing; to finish doing	70	B
会	かい	-	3	0	-	70	B
